,Pred
0,1
1,0
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,0
11,0
12,1
13,0
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,1
22,0
23,1
24,1
25,0
26,0
27,1
28,0
29,1
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,1
43,1
44,0
45,1
46,0
47,0
48,0
49,1
50,0
51,1
52,0
53,0
54,1
55,1
56,0
57,1
58,1
59,0
60,0
61,0
62,1
63,1
64,0
65,1
66,1
67,1
68,1
69,0
70,1
71,1
72,0
73,0
74,1
75,0
76,1
77,1
78,1
79,0
80,1
81,0
82,1
83,0
84,0
85,1
86,0
87,0
88,0
89,1
90,0
91,1
92,0
93,1
94,1
95,0
96,1
97,1
98,0
99,0
100,0
101,0
102,1
103,1
104,0
105,0
106,0
107,0
108,0
109,1
110,0
111,1
112,1
113,0
114,0
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,0
125,1
126,1
127,0
128,0
129,1
130,1
131,1
132,1
133,1
134,0
135,1
136,0
137,1
138,0
139,0
140,1
141,0
142,1
143,0
144,1
145,1
146,0
147,1
148,0
149,0
150,1
151,1
152,0
153,0
154,1
155,1
156,1
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,1
169,1
170,0
171,1
172,1
173,0
174,0
175,0
176,0
177,0
178,0
179,1
180,0
181,1
182,0
183,0
184,1
185,0
186,0
187,0
188,0
189,1
190,0
191,1
192,1
193,1
194,1
195,1
196,0
197,0
198,1
199,0
200,0
201,1
202,0
203,0
204,1
205,0
206,1
207,0
208,0
209,1
210,0
211,1
212,1
213,0
214,0
215,0
216,0
217,0
218,0
219,1
220,0
221,0
222,0
223,1
224,1
225,0
226,0
227,0
228,0
229,1
230,1
231,0
232,0
233,1
234,0
235,0
236,1
237,0
238,0
239,1
240,0
241,0
242,0
243,1
244,1
245,1
246,0
247,0
248,0
249,1
250,1
251,1
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,1
260,1
261,1
262,0
263,0
264,1
265,0
266,0
267,1
268,0
269,1
270,1
271,0
272,0
273,1
274,0
275,1
276,0
277,0
278,1
279,1
280,0
281,0
282,0
283,1
284,1
285,0
286,1
287,0
288,0
289,1
290,0
291,1
292,0
293,0
294,0
295,1
296,0
297,0
298,1
299,0
300,1
301,1
302,0
303,0
304,0
305,1
306,0
307,1
308,1
309,0
310,1
311,0
312,0
313,1
314,0
315,1
316,1
317,1
318,1
319,0
320,1
321,0
322,0
323,1
324,1
325,1
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,1
336,0
337,0
338,1
339,0
340,1
341,1
342,0
343,1
344,0
345,0
346,0
347,1
348,1
349,1
350,1
351,0
352,1
353,1
354,1
355,1
356,0
357,1
358,0
359,0
360,0
361,0
362,1
363,1
364,0
365,1
366,1
367,1
368,0
369,0
370,0
371,0
372,1
373,1
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,1
382,0
383,1
384,0
385,0
386,1
387,0
388,1
389,1
390,0
391,1
392,0
393,0
394,0
395,0
396,1
397,0
398,0
399,0
400,1
401,0
402,0
403,0
404,1
405,0
406,0
407,0
408,1
409,1
410,0
411,1
412,0
413,0
414,0
415,1
416,0
417,1
418,1
419,1
420,0
421,1
422,0
423,1
424,0
425,0
426,1
427,1
428,0
429,0
430,0
431,0
432,1
433,1
434,1
435,0
436,0
437,0
438,0
439,1
440,1
441,0
442,1
443,0
444,0
445,1
446,0
447,0
448,1
449,1
450,0
451,1
452,0
453,1
454,1
455,0
456,0
457,0
458,0
459,1
460,1
461,1
462,1
463,0
464,0
465,0
466,0
467,0
468,1
469,1
470,0
471,0
472,0
473,1
474,0
475,1
476,0
477,0
478,0
479,1
480,0
481,1
482,0
483,0
484,0
485,1
486,1
487,0
488,0
489,1
490,0
491,0
492,0
493,0
494,1
495,0
496,0
497,0
498,0
499,1
500,0
501,1
502,1
503,0
504,0
505,0
506,0
507,1
508,1
509,0
510,0
511,1
512,1
513,1
514,1
515,1
516,0
517,1
518,1
519,1
520,1
521,1
522,1
523,0
524,1
525,1
526,1
527,1
528,0
529,0
530,0
531,0
532,0
533,1
534,0
535,0
536,0
537,1
538,0
539,1
540,1
541,0
542,0
543,0
544,1
545,1
546,0
547,0
548,1
549,0
550,0
551,0
552,0
553,1
554,0
555,1
556,0
557,0
558,1
559,1
560,0
561,1
562,0
563,0
564,0
565,0
566,1
567,0
568,1
569,1
570,0
571,1
572,1
573,0
574,0
575,0
576,1
577,1
578,0
579,0
580,1
581,0
582,0
583,1
584,0
585,1
586,1
587,0
588,1
589,0
590,1
591,0
592,1
593,0
594,1
595,0
596,1
597,0
598,1
599,0
600,0
601,0
602,0
603,1
604,0
605,1
606,1
607,1
608,1
609,1
610,0
611,0
612,0
613,1
614,0
615,1
616,1
617,0
618,0
619,1
620,1
621,1
622,0
623,0
624,1
625,1
626,1
627,1
628,1
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,1
640,0
641,0
642,0
643,0
644,1
645,0
646,0
647,0
648,1
649,1
650,1
651,0
652,1
653,0
654,1
655,0
656,1
657,1
658,0
659,1
660,1
661,0
662,1
663,0
664,1
665,1
666,0
667,0
668,0
669,0
670,0
671,1
672,1
673,0
674,1
675,1
676,1
677,1
678,1
679,1
680,0
681,0
682,0
683,0
684,0
685,0
686,1
687,1
688,0
689,0
690,0
691,0
692,1
693,0
694,1
695,0
696,0
697,0
698,0
699,0
700,0
701,1
702,0
703,0
704,1
705,1
706,1
707,0
708,0
709,0
710,0
711,1
712,0
713,1
714,0
715,0
716,1
717,0
718,0
719,1
720,0
721,0
722,1
723,0
724,1
725,1
726,0
727,1
728,0
729,0
730,0
731,0
732,0
733,1
734,0
735,0
736,1
737,0
738,1
739,1
740,1
741,0
742,0
743,0
744,0
745,0
746,1
747,1
748,0
749,1
750,1
751,0
752,0
753,0
754,0
755,1
756,1
757,0
758,1
759,0
760,1
761,0
762,0
763,1
764,0
765,0
766,0
767,0
768,0
769,1
770,0
771,0
772,0
773,1
774,1
775,1
776,0
777,0
778,1
779,0
780,0
781,0
782,0
783,1
784,1
785,1
786,1
787,0
788,0
789,0
790,1
791,1
792,1
793,1
794,1
795,0
796,1
797,1
798,0
799,0
800,1
801,0
802,0
803,1
804,1
805,1
806,0
807,0
808,0
809,1
810,0
811,0
812,1
813,1
814,0
815,1
816,0
817,0
818,0
819,1
820,1
821,0
822,0
823,1
824,0
825,1
826,0
827,0
828,0
829,1
830,0
831,0
832,1
833,0
834,0
835,1
836,0
837,0
838,1
839,0
840,0
841,0
842,0
843,1
844,0
845,0
846,0
847,0
848,0
849,0
850,1
851,1
852,0
853,1
854,1
855,0
856,1
857,1
858,0
859,1
860,0
861,0
862,1
863,0
864,1
865,0
866,0
867,1
868,1
869,0
870,0
871,1
872,1
873,0
874,1
875,1
876,0
877,0
878,1
879,1
880,1
881,0
882,0
883,0
884,1
885,1
886,0
887,1
888,1
889,0
890,0
891,0
892,1
893,1
894,0
895,1
896,1
897,1
898,0
899,0
900,1
901,1
902,1
903,0
904,0
905,1
906,0
907,0
908,1
909,0
910,0
911,0
912,1
913,0
914,1
915,1
916,1
917,1
918,0
919,1
920,0
921,0
922,0
923,0
924,1
925,1
926,0
927,0
928,0
929,0
930,0
931,1
932,1
933,1
934,0
935,0
936,1
937,1
938,0
939,0
940,0
941,0
942,0
943,1
944,0
945,0
946,1
947,0
948,0
949,1
950,1
951,0
952,1
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,1
961,0
962,1
963,1
964,1
965,1
966,0
967,0
968,1
969,0
970,0
971,0
972,1
973,0
974,1
975,1
976,1
977,0
978,1
979,1
980,1
981,1
982,0
983,0
984,1
985,1
986,0
987,1
988,0
989,1
990,0
991,0
992,1
993,1
994,1
995,1
996,1
997,1
998,1
999,0
1000,1
1001,0
1002,1
1003,1
1004,0
1005,0
1006,1
1007,0
1008,1
1009,0
1010,0
1011,1
1012,0
1013,0
1014,1
1015,1
1016,0
1017,0
1018,1
1019,1
1020,0
1021,1
1022,1
1023,0
1024,0
1025,1
1026,0
1027,0
1028,1
1029,0
1030,0
1031,1
1032,1
1033,1
1034,0
1035,1
1036,0
1037,0
1038,0
1039,0
1040,1
1041,1
1042,1
1043,1
1044,0
1045,1
1046,0
1047,0
1048,0
1049,0
1050,0
1051,1
1052,1
1053,0
1054,0
1055,1
1056,0
1057,1
1058,0
1059,0
1060,1
1061,0
1062,0
1063,0
1064,0
1065,1
1066,1
1067,1
1068,1
1069,1
1070,0
1071,1
1072,1
1073,1
1074,0
1075,0
1076,1
1077,1
1078,1
1079,0
1080,1
1081,1
1082,1
1083,0
1084,0
1085,0
1086,0
1087,1
1088,0
1089,0
1090,1
1091,0
1092,0
1093,0
1094,1
1095,0
1096,0
1097,1
1098,0
1099,1
1100,1
1101,0
1102,0
1103,0
1104,1
1105,1
1106,1
1107,1
1108,1
1109,0
1110,0
1111,1
1112,0
1113,1
1114,0
1115,0
1116,0
1117,0
1118,1
1119,0
1120,1
1121,1
1122,1
1123,0
1124,0
1125,1
1126,1
1127,1
1128,1
1129,1
1130,0
1131,0
1132,1
1133,1
1134,0
1135,1
1136,0
1137,1
1138,1
1139,1
1140,0
1141,1
1142,1
1143,0
1144,0
1145,1
1146,0
1147,0
1148,0
1149,1
1150,1
1151,0
1152,0
1153,1
1154,0
1155,0
1156,1
1157,0
1158,0
1159,0
1160,0
1161,1
1162,1
1163,0
1164,0
1165,0
1166,1
1167,0
1168,1
1169,0
1170,1
1171,0
1172,0
1173,1
1174,1
1175,1
1176,1
1177,1
1178,0
1179,0
1180,0
1181,0
1182,0
1183,1
1184,1
1185,0
1186,1
1187,0
1188,0
1189,0
1190,0
1191,0
1192,1
1193,0
1194,0
1195,0
1196,0
1197,0
1198,1
1199,1
1200,0
1201,0
1202,0
1203,1
1204,1
1205,1
1206,0
1207,1
1208,0
1209,0
1210,0
1211,0
1212,1
1213,0
1214,1
1215,0
1216,1
1217,0
1218,1
1219,1
1220,0
1221,0
1222,1
1223,0
1224,1
1225,0
1226,1
1227,0
1228,0
1229,0
1230,0
